Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,latitude,longitude
5192458,1/1/18,127,4,Hollenbeck,422,27,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,AVENUE 21,MAIN                         ST,34.0707,-118.2103
5192475,1/1/18,215,4,Hollenbeck,453,19,M,H,8,Other Assaults,M,243(A)PC,BATTERY ON PERSON,1700 E  CESAR E CHAVEZ               AV,,34.0512,-118.2176
5192492,1/1/18,315,4,Hollenbeck,457,31,M,H,12,Weapon (carry/poss),F,30305(A)1PC,ILLEGAL POSSESSION OF AMMUNITION,BOULDER                      ST,FICKETT                      ST,34.048,-118.2029
5192501,1/1/18,405,4,Hollenbeck,402,49,M,W,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,800    MONTECITO                    DR,,34.0905,-118.1996
5192980,1/1/18,1300,4,Hollenbeck,497,32,M,H,5,Burglary,F,459PC,BURGLARY,2900 E  11TH                         ST,,34.0217,-118.2161
5192988,1/1/18,1746,4,Hollenbeck,448,51,M,H,8,Other Assaults,F,422(A)PC,TERRORIZE CAUSING FEAR,1400    TREMONT                      ST,,34.0583,-118.1978
5193011,1/1/18,1930,4,Hollenbeck,491,28,M,H,6,Larceny,M,459.5PC,SHOPLIFTING,2600 E  OLYMPIC,,34.0253,-118.2224
5193651,1/2/18,1535,4,Hollenbeck,416,22,M,H,12,Weapon (carry/poss),M,29825(B)PC,OWN/POSS F/ARM WHILE SUBJECT RESTRAIN ORD,2700    MONTECITO                    ST,,34.0803,-118.207
5193723,1/2/18,1835,4,Hollenbeck,453,51,M,H,8,Other Assaults,M,243(E)(1)PC,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING REL,6TH,HILL,34.0517,-118.2178
5193778,1/2/18,2100,4,Hollenbeck,469,42,M,H,4,Aggravated Assault,F,245(B)PC,ADW W/SEMIAUTOMATIC RIFLE,INDIANA                      BL,4TH                          ST,34.0322,-118.1924
180404106,1/3/18,1200,4,Hollenbeck,428,19,M,H,,,I,41.27(C)LAM,,2700    LYNNFIELD                    CI,,34.08,-118.1756
180404107,1/3/18,1200,4,Hollenbeck,428,25,M,H,,,M,25620(A)BP,,2700    LYNNFIELD                    CI,,34.08,-118.1756
180404108,1/3/18,1140,4,Hollenbeck,424,19,M,H,,,I,41.27(C)LAM,,MISSION                      RD,SELIG                        PL,34.0685,-118.201
180404186,1/3/18,1050,4,Hollenbeck,488,15,M,H,,,I,11357(A)1HS,,1100 S  LORENA                       ST,,34.0239,-118.2034
5194573,1/3/18,1310,4,Hollenbeck,478,18,F,H,8,Other Assaults,M,243(E)(1)PC,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING REL,1000    SPENCE                       ST,,34.0285,-118.2031
5194791,1/3/18,1710,4,Hollenbeck,424,19,M,H,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,3500    VALLEY                       BL,,34.07,-118.1998
5194808,1/3/18,1710,4,Hollenbeck,424,27,M,H,17,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,3500    VALLEY                       BL,,34.07,-118.1998
5194819,1/3/18,1955,4,Hollenbeck,497,38,F,H,16,Narcotic Drug Laws,M,11377(A)HS,POSSESSION CONTROLLED SUBSTANCE,2800 E  OLYMPIC                      BL,,34.0234,-118.2177
